year,scenario,p_index
2003,sage0_mod,301250
2004,sage0_mod,224230
2005,sage0_mod,276515
2006,sage0_mod,821168
2007,sage0_mod,320457
2008,sage0_mod,1094950
2009,sage0_mod,154415
2010,sage0_mod,707953
2011,sage0_mod,897999
2012,sage0_mod,400770
2013,sage0_mod,1111770
2014,sage0_mod,201150
2015,sage0_mod,268579
2016,sage0_mod,152469
2017,sage0_mod,109721
2018,sage0_mod,663252
2019,sage0_mod,475535
2003,sage1_mod,229180
2004,sage1_mod,213946
2005,sage1_mod,159246
2006,sage1_mod,196379
2007,sage1_mod,583187
2008,sage1_mod,227587
2009,sage1_mod,777622
2010,sage1_mod,109664
2011,sage1_mod,502780
2012,sage1_mod,637749
2013,sage1_mod,284622
2014,sage1_mod,789568
2015,sage1_mod,142854
2016,sage1_mod,190742
2017,sage1_mod,108282
2018,sage1_mod,77923
2019,sage1_mod,471037
2020,sage1_mod,337723
2003,sage1_comps,0.17456
2004,sage1_comps,0.14521
2005,sage1_comps,0.15679
2006,sage1_comps,0.34491
2007,sage1_comps,0.67159
2008,sage1_comps,0.20472
2009,sage1_comps,0.48983
2010,sage1_comps,0.04908
2011,sage1_comps,0.3498
2012,sage1_comps,0.34499
2013,sage1_comps,0.10485
2014,sage1_comps,0.27171
2015,sage1_comps,0.0614
2016,sage1_comps,0.08281
2017,sage1_comps,0.10715
2018,sage1_comps,0.07564
2019,sage1_comps,0.58805
